game,bookmaker,market_type,team,side,line,odds,timestamp,line_status,extraction_time
Clippers vs Magic,Pinnacle,Spread,Magic,home,-4.5,-111,2025-11-19T23:57:05.056697Z,opener,2025-11-20T17:32:55.098269
Clippers vs Magic,Pinnacle,Spread,Magic,home,-4.5,-111,2025-11-19T23:58:59.231009Z,normal,2025-11-20T17:32:55.098297
Clippers vs Magic,Pinnacle,Spread,Magic,home,-5.0,-111,2025-11-20T00:05:00.656643Z,normal,2025-11-20T17:32:55.098305
Clippers vs Magic,Pinnacle,Spread,Magic,home,-4.5,-111,2025-11-20T00:07:07.940128Z,normal,2025-11-20T17:32:55.098326
Clippers vs Magic,Pinnacle,Spread,Magic,home,-5.0,-110,2025-11-20T00:13:26.8121Z,normal,2025-11-20T17:32:55.098335
Clippers vs Magic,Pinnacle,Spread,Magic,home,-5.0,-113,2025-11-20T00:23:11.687651Z,normal,2025-11-20T17:32:55.098341
Clippers vs Magic,Pinnacle,Spread,Magic,home,-5.5,-107,2025-11-20T00:43:11.927619Z,normal,2025-11-20T17:32:55.098347
Clippers vs Magic,Pinnacle,Spread,Magic,home,-5.5,-109,2025-11-20T00:53:08.579311Z,normal,2025-11-20T17:32:55.098353
Clippers vs Magic,Pinnacle,Spread,Magic,home,-5.5,-107,2025-11-20T01:03:02.014924Z,normal,2025-11-20T17:32:55.098359
Clippers vs Magic,Pinnacle,Spread,Magic,home,-5.5,-107,2025-11-20T01:37:03.953973Z,normal,2025-11-20T17:32:55.098375
Clippers vs Magic,Pinnacle,Spread,Magic,home,-5.5,-106,2025-11-20T02:15:04.425771Z,normal,2025-11-20T17:32:55.098382
Clippers vs Magic,Pinnacle,Spread,Magic,home,-5.5,-108,2025-11-20T02:22:40.416788Z,normal,2025-11-20T17:32:55.098388
Clippers vs Magic,Pinnacle,Spread,Magic,home,-5.5,-105,2025-11-20T02:28:26.347842Z,normal,2025-11-20T17:32:55.098394
Clippers vs Magic,Pinnacle,Spread,Magic,home,-5.5,-105,2025-11-20T02:39:26.428919Z,normal,2025-11-20T17:32:55.098399
Clippers vs Magic,Pinnacle,Spread,Magic,home,-5.5,-108,2025-11-20T02:53:27.23262Z,normal,2025-11-20T17:32:55.098405
Clippers vs Magic,Pinnacle,Spread,Magic,home,-5.5,-109,2025-11-20T03:38:25.767409Z,normal,2025-11-20T17:32:55.098410
Clippers vs Magic,Pinnacle,Spread,Magic,home,-5.5,-110,2025-11-20T04:01:25.28738Z,normal,2025-11-20T17:32:55.098415
Clippers vs Magic,Pinnacle,Spread,Clippers,away,4.5,-111,2025-11-19T23:57:05.048868Z,opener,2025-11-20T17:32:55.098425
